Rank,Name,Neighborhood,Zoning Type,Plot Size,Building Size,Distance to Ocean,Distance to Bay,Max # of Floors,Min # of Floors,Plot Area (m²),Min Building Height (m),Max Building Height (m),Distance to Ocean (m),Distance to Bay (m),tokenId
1,NX-1,Nexus,Legendary,Giga,Megatall,Close,Far,113,91,8696,455,568,294,1052,55571053641922639447056700105865205243715611440944347498124958785466045589792
2,FL-163,Flashing Lights,Legendary,Giga,Megatall,Medium,Far,105,84,12473,421,526,462,1191,36673601552898586489403838049703496119881800534609235277709633135032680895305
2,FL-192,Flashing Lights,Legendary,Giga,Megatall,Medium,Far,116,92,8696,464,580,317,1215,17071570804744793339374810957426211068573063145208406708767530553466722348589
4,FL-141,Flashing Lights,Legendary,Giga,Megatall,Far,Medium,105,84,13252,421,526,2413,577,47922331383988564425921665753895570011829316634692389683614762869487595212645
4,FL-162,Flashing Lights,Legendary,Giga,Megatall,Far,Medium,111,89,13901,446,557,1966,548,24141128885094349385794189300244322907602941466227587536966452208058594305324
6,FL-68,Flashing Lights,Legendary,Giga,Megatall,Far,Far,118,94,13901,474,592,761,1019,32211331224715999394733028079811364362414411565739416630929588077552506964788
6,FL-112,Flashing Lights,Legendary,Giga,Megatall,Far,Far,107,85,28145,429,536,818,1091,16733103445592972005714066421675388176853739814008572029814157574173723517767
6,FL-142,Flashing Lights,Legendary,Giga,Megatall,Far,Far,105,84,18064,421,526,1184,731,6221784175144315373130363111618282992826166638882655499747296627919520705567
9,SM-263,Space Mind,Legendary,Giga,Megatall,Far,Close,109,87,17192,438,547,1574,136,84003640464528335787680514717955802210825655969817690650418493241476401369171
10,SM-107,Space Mind,Legendary,Giga,Megatall,Far,Medium,111,89,14874,446,557,2049,415,82759877969479254792957688381420114511615092150472101779015236287165970522604
11,FL-113,Flashing Lights,Legendary,Mammoth,Megatall,Medium,Far,116,92,8239,464,580,314,1467,39976680369770960671285319386538867823481670436596173084001312585210296160682
12,FL-64,Flashing Lights,Legendary,Mega,Supertall,Far,Medium,94,75,6491,376,470,1947,507,108760816373081404447230070837170041606173108639875670772934934068112848726396
13,FL-34,Flashing Lights,Legendary,Macro,Supertall,Far,Medium,89,71,5129,359,448,1227,352,7802363634503276664445336916792691787345821486735810204581255478565649310900
14,NS-930,North Star,Legendary,Macro,Supertall,Medium,Far,86,68,5174,344,430,544,677,32378305565012815999604055011020755950334868539732056330726696737548753598353
15,FL-81,Flashing Lights,Legendary,Mid,Supertall,Far,Medium,86,68,4038,344,430,2142,392,37642705386358614641002991212195837459899028363110698367163468077615843525468
16,NS-800,North Star,Legendary,Mid,Supertall,Far,Medium,98,78,4300,392,490,2215,323,68735322454524481320016511322044564554947696150146110039077644966844774108076
16,NS-882,North Star,Legendary,Mid,Supertall,Far,Medium,94,75,4270,376,470,848,468,11466693988333559781719081585200462196298378925852220009370180984194075803900
18,FL-110,Flashing Lights,Legendary,Mini,Supertall,Medium,Far,86,68,3495,344,430,471,1363,107596084370000349954297849297664194579646738355116896963606202178786435216210
19,FL-80,Flashing Lights,Legendary,Mini,Supertall,Far,Medium,82,66,3024,332,414,2251,305,22405611157188562590279752347109025700573635177971923844348175864958475449190
20,FL-53,Flashing Lights,Legendary,Mini,Supertall,Far,Far,89,71,3279,359,448,794,824,40704611227328725902388144274818601514885659517376014228996250913573618163886
21,DZ-61,District ZERO,Legendary,Mini,Supertall,Far,Far,84,67,3301,338,422,869,883,69715592720555721283131937699868941419545465396994605399651511655805478765186
22,NS-736,North Star,Legendary,Mini,Supertall,Far,Medium,82,66,2813,332,414,1566,536,90379503209035257513171750558640883967211903881368448381290772559851783168393
22,NS-804,North Star,Legendary,Mini,Supertall,Far,Medium,80,64,3040,320,400,1049,530,71703019337060874353503479726611702060935101807324577871613029491830715141057
24,NS-799,North Star,Legendary,Mid,Tall,Far,Close,77,62,4182,311,388,2318,256,59718770359264366766980282360668730256949542640289811572989629558180138588415
25,FL-58,Flashing Lights,Legendary,Mini,Tall,Medium,Far,77,62,2998,311,388,591,1049,15344312218268976739473093864521270991319914672032278274784531898617971813563
26,FL-70,Flashing Lights,Mixed Use,Mega,Tall,Far,Far,71,57,6191,286,357,1794,667,63144028124885066722792031199329253655342804439575781499301247774344968239388
27,LM-8,Little Meow,Mixed Use,Giga,Highrise,Medium,Far,43,34,8782,172,215,359,1069,19409326702766411573766087016147519028658890463838768517881095452821901802912
28,DZ-33,District ZERO,Mixed Use,Macro,Tall,Far,Far,66,53,4939,265,331,831,873,56244273504355485737772136190545387873521874456054622619840381992350201253165
29,FL-30,Flashing Lights,Mixed Use,Mid,Tall,Far,Close,67,53,4235,269,336,1859,143,97708748138280860545215108230398808360306322936974602004205508267631294128520
30,NS-682,North Star,Mixed Use,Mid,Tall,Medium,Far,60,48,4135,243,303,417,1317,74669457216401989433199000944834622567301662013633386719834724683192049908418
31,NS-729,North Star,Mixed Use,Mid,Tall,Far,Medium,63,50,3924,254,317,2026,550,38833800236469799191400065437143260733686512937836401158485222005233608917245
32,NS-915,North Star,Mixed Use,Mid,Tall,Far,Far,73,58,3821,293,366,611,611,89713596218443479057845987430032711006177535039567612418583795771201095710722
33,FL-117,Flashing Lights,Mixed Use,Mini,Tall,Far,Medium,67,54,2419,272,339,2760,308,85711073336618391354291604290589773482816729963215286982271722118023223274965
34,FL-57,Flashing Lights,Mixed Use,Mini,Tall,Far,Far,64,52,3433,260,324,739,924,3189479938024801671910015456223791390199802885662887785704123897000910108035
35,NS-939,North Star,Mixed Use,Mini,Tall,Medium,Far,64,52,3270,260,324,538,730,85563084873837913972687068370461382515590323929074143816144438616547065218938
36,DZ-74,District ZERO,Mixed Use,Micro,Tall,Far,Far,62,49,2104,248,310,969,861,6091812285179878799299144767720318409360017750701523092262030827845992601041
37,FL-19,Flashing Lights,Residential,Micro,Tall,Medium,Far,63,50,1577,254,317,353,1048,71076986120046494977469896643854068686608057329318160793631976362214999652811
38,SM-504,Space Mind,Mixed Use,Mammoth,Highrise,Far,Close,46,36,7624,184,230,1649,232,81439237060195660695775139823856208364640570486084069484429679521582674611154
39,NS-846,North Star,Mixed Use,Mammoth,Highrise,Far,Close,40,32,7423,162,202,1590,198,63178432901420999903742910195043019533952629601237919318212311653079013244297
40,NX-22,Nexus,Industrial,Giga,Lowrise,Far,Far,8,6,13093,32,40,713,934,30770937188239421308902655413463799095492593957195532884159285813308396373149
41,SM-601,Space Mind,Mixed Use,Mammoth,Midrise,Close,Far,35,28,7522,144,179,129,1507,35204814637973713422551979789089975558403357167176136414764356591252623022133
