Rank,Name,Neighborhood,Zoning Type,Plot Size,Building Size,Distance to Ocean,Distance to Bay,Max # of Floors,Min # of Floors,Plot Area (m²),Min Building Height (m),Max Building Height (m),Distance to Ocean (m),Distance to Bay (m)
44,SM-577,Space Mind,Mixed Use,Mega,Highrise,Far,Far,55,44,7169,222,277,830,742
45,HH-878,Haven Heights,Industrial,Giga,Lowrise,Medium,Far,9,7,9363,36,45,383,673
47,DZ-225,District ZERO,Industrial,Giga,Lowrise,Far,Far,8,6,10095,32,40,1006,1090
51,NS-931,North Star,Mixed Use,Macro,Highrise,Medium,Far,46,37,5323,188,234,453,766
54,FL-90,Flashing Lights,Mixed Use,Mid,Highrise,Far,Medium,52,42,4603,212,264,2536,302
56,FL-99,Flashing Lights,Mixed Use,Mid,Highrise,Far,Far,45,36,4081,181,226,889,1077
59,FL-133,Flashing Lights,Mixed Use,Mammoth,Lowrise,Far,Medium,19,16,7393,80,99,2709,361
61,FL-161,Flashing Lights,Mixed Use,Mammoth,Lowrise,Far,Far,17,13,8021,69,86,616,1070
64,FL-66,Flashing Lights,Mixed Use,Mini,Highrise,Medium,Far,50,40,2551,200,250,344,1335
67,FL-47,Flashing Lights,Mixed Use,Mini,Highrise,Far,Far,49,39,3219,197,246,795,795
73,NS-942,North Star,Mixed Use,Mini,Highrise,Medium,Far,48,38,2535,194,242,349,947
77,DZ-40,District ZERO,Industrial,Mammoth,Lowrise,Far,Close,8,6,7266,32,40,2269,234
81,DZ-115,District ZERO,Mixed Use,Mini,Highrise,Far,Far,57,45,2413,228,285,1319,670
84,DZ-19,District ZERO,Industrial,Mammoth,Lowrise,Far,Medium,3,3,7443,15,18,1312,385
88,SM-576,Space Mind,Industrial,Mammoth,Lowrise,Far,Far,9,7,7355,39,48,876,686
90,DZ-234,District ZERO,Industrial,Mammoth,Lowrise,Far,Far,8,6,7215,32,40,1398,809
95,NS-709,North Star,Industrial,Mammoth,Lowrise,Far,Far,14,11,7303,59,73,1769,654
99,FL-21,Flashing Lights,Residential,Micro,Highrise,Far,Close,48,39,1594,195,243,2456,129
102,FL-86,Flashing Lights,Mixed Use,Mega,Midrise,Far,Far,25,20,6233,100,125,993,973
106,NS-833,North Star,Mixed Use,Mega,Midrise,Far,Close,30,24,7032,124,154,1491,219
113,NX-11,Nexus,Commercial,Micro,Lowrise,Close,Far,4,3,1482,18,22,294,1063
